name,area,company,repeat_sales,total_sales,customer_loyalty_score
Zeynep Greij,Finance,Simons-Claus VOF,1,40895.58,40895.58
Angelina Eijkelboom,Finance,Koninklijke van der Heijden,1,98237.0,98237.0
Lola van der Noot,HR,"Goovaerts, Declerck en Simoens CV",1,96114.92,96114.92
Lola van der Noot,HR,Wähner Weimer AG & Co. OHG,1,96114.92,96114.92
Liz van Hostaden,IT,Klemm,1,64619.58,64619.58
Liz van Hostaden,IT,Koninklijke Blewanus,1,64619.58,64619.58
Liz van Hostaden,IT,Jacobs-De Roeck CommV,1,64619.58,64619.58
Noor van Henegouwen,Games,De Keyser BV,1,68721.94,68721.94
Julia Wilcken,Games,Weiß Klotz AG & Co. KG,1,98115.08,98115.08
Faas van der Stael,HR,Vandewalle-Goris VOF,1,70583.3,70583.3
Jayson van Gorp-Hermans,HR,Hoppenbrouwer BV,1,39445.72,39445.72
Jayson van Gorp-Hermans,HR,Stichting Geerts,1,39445.72,39445.72
Valerie Arnold-van Geest,Finance,Schmidtke e.V.,1,76773.86,76773.86
Merijn Verhoeven,Finance,van Kasteelen NV,1,75557.45,75557.45
Sophia Engels,Finance,Scheibe Tintzmann KG,1,91293.47,91293.47
Joey Blees,Finance,van de Eerenbeemt Groep,1,80254.71,80254.71
Joey Blees,Finance,Fortuyn NV,1,80254.71,80254.71
Alexander Muijs,Games,Koninklijke van den Nuwenhuysen,1,77389.49,77389.49
Carlijn Jacquot,IT,De Schutter CV,1,67743.27,67743.27
Amy Chrodtrud,Finance,Kensy,1,93885.31,93885.31
Vincent Bouhuizen,Finance,Rohleder Weiß GmbH & Co. OHG,1,87128.54,87128.54
Vincent Bouhuizen,Finance,Kaul,1,87128.54,87128.54
Noah Speijer,IT,"Polfliet, De Groote en Leysen CV",1,94710.36,94710.36
Phileine Huurdeman,Marketing,Dachgelt Groep,1,82580.83,82580.83
Phileine Huurdeman,Marketing,Merck,1,82580.83,82580.83
Jasmijn Zaal,Games,Dekamarkt,1,68415.92,68415.92
Joris Eelman,Marketing,Royal Walter,1,96252.87,96252.87
Benjamin van Laon,Games,Holsten GmbH & Co. KG,1,72307.82,72307.82
Benjamin van Laon,Games,Van Baelen NV,1,72307.82,72307.82
Dean Frankhuizen,Finance,"Mertens, Lievens en Janssens VOF",1,30551.74,30551.74
Mara van der Ven,Marketing,Stichting Cornelisse,1,41276.75,41276.75
Dylan Kok-Kerkhof,IT,Royal Jorlink,1,94432.14,94432.14
Dylan Kok-Kerkhof,IT,Kraushaar Stiffel GmbH,1,94432.14,94432.14
Nadine Kunen-van de Wal,IT,van Luin NV,1,57177.61,57177.61
Nadine Kunen-van de Wal,IT,Stolze,1,57177.61,57177.61
Maya Tuithof,Games,Schenk Seip AG,1,98861.3,98861.3
Maya Tuithof,Games,Vermeir-Desmet NV,1,98861.3,98861.3
Maya Tuithof,Games,van Embden NV,1,98861.3,98861.3
Jonathan van der Klijn,HR,Scheuermann OHG mbH,1,72531.32,72531.32
Senna Zuidweg,HR,Stadelmann Seifert KG,1,80787.64,80787.64
Senna Zuidweg,HR,Trommler Pruschke GbR,1,80787.64,80787.64
Berat Wipstrik-Groen,HR,Stichting Jacobs,1,42793.2,42793.2
Jack van de Ven,Marketing,"Voet, Lambrechts en Vandevelde CommV",1,64958.88,64958.88
Matthias Heinrichs,Marketing,Kaul KGaA,1,87566.17,87566.17
Pepijn van Verdun,HR,Ahmed CommV,1,61807.28,61807.28
Pepijn van Verdun,HR,Jansdr & Martel,1,61807.28,61807.28
Pepijn van Verdun,HR,van der Plas & Vaessen,1,61807.28,61807.28
Elise Vegt-Kosten,Games,Koninklijke Jacobs,1,70273.48,70273.48
Maurits de Pauw-van de Velde,Marketing,Decock-Proost CV,1,61740.16,61740.16
Stef van Schevinghuizen-Smit,Games,Bertels-Wouters CV,1,99889.55,99889.55
Mohammed de Mol,Marketing,Weihmann,1,76689.04,76689.04
Mohammed de Mol,Marketing,De Persgroep,1,76689.04,76689.04
Arthur Recers,IT,Coenen-Wellens VOF,1,44507.89,44507.89
Luuk Arens,Finance,"Adriaensen, Vanderheyden en Van der Linden NV",1,46664.52,46664.52
Faas Haring,Finance,Etzler,1,43985.41,43985.41
Phileine Stamrood,Games,Meert-Maes CV,1,50421.79,50421.79
Aron Roukes,IT,"Vermeiren, Peeters en Fierens VOF",1,75983.52,75983.52
Aron Roukes,IT,Krein e.V.,1,75983.52,75983.52
Dion Kronenberg-Ariens,Finance,Börner GbR,1,34903.49,34903.49
Emily Coreth von und zu Coredo und Starkenberg,Finance,Cisco,1,44127.39,44127.39
Dani Rijcken,Marketing,Smet CommV,1,58748.63,58748.63
Dani Rijcken,Marketing,Royal Louws,1,58748.63,58748.63
Dani Rijcken,Marketing,Depoorter-Lenaerts CommV,1,58748.63,58748.63
Vajèn Willems-Adriaensdr,Games,Fiat Chrysler Automobiles,1,65506.6,65506.6
Lorenzo Goderts,Finance,van Buuren Groep,1,96820.43,96820.43
Emir Breugelensis,Marketing,Wernecke AG,1,73115.48,73115.48
Thijs Gruijl,Marketing,Delaere-Engels VOF,1,84178.45,84178.45
Maartje Vandenbergh,HR,"Tanghe, De Vos en Segers VOF",1,44414.67,44414.67
Lola van der Noot,HR,Peters-Parmentier CommV,1,96114.92,96114.92
Liz van Hostaden,IT,Stichting Maas,1,64619.58,64619.58
Julia Wilcken,Games,Matthäi,1,98115.08,98115.08
Julia Wilcken,Games,Briemer,1,98115.08,98115.08
Jayson van Gorp-Hermans,HR,"Vandeputte, Martens en Van Driessche NV",1,39445.72,39445.72
Jayson van Gorp-Hermans,HR,Stichting Mulder,1,39445.72,39445.72
Jayson van Gorp-Hermans,HR,Lindner,1,39445.72,39445.72
Ali Hollander,IT,Wähner AG,1,99653.96,99653.96
Ali Hollander,IT,Etzold GmbH,1,99653.96,99653.96
Ali Hollander,IT,Gutknecht GmbH,1,99653.96,99653.96
Tom Kunen,Games,Mitschke KG,1,80451.94,80451.94
Tom Kunen,Games,Eigenwillig Schönland GmbH & Co. OHG,1,80451.94,80451.94
Luca Sprong-Brievingh,Games,Stichting Broeshart,1,46029.36,46029.36
Merijn Verhoeven,Finance,Förster Haase GmbH,1,75557.45,75557.45
Gijs Ghoerle-van der Leek,HR,"Ahmed, De Vos en Swennen BV",1,84489.53,84489.53
Alexander van Ooyen-Arnold,IT,Jäntsch AG & Co. KG,1,93859.22,93859.22
Carlijn Jacquot,IT,Ditschlerin,1,67743.27,67743.27
Carlijn Jacquot,IT,NXP,1,67743.27,67743.27
Amy Chrodtrud,Finance,"De Roover, De Moor en Hermans VOF",1,93885.31,93885.31
Amy Chrodtrud,Finance,"Sanders, Van Dessel en Vermeulen CV",1,93885.31,93885.31
Luuk Pratt,IT,Elbertse & de Wit,1,97823.41,97823.41
Vincent Bouhuizen,Finance,Vervoort CV,1,87128.54,87128.54
Ties Mulders,HR,Stichting Rehorst,1,56797.57,56797.57
Azra Claesner,Marketing,Koninklijke Arnold,1,48783.07,48783.07
Yassin Kleijse,HR,Vergauwen CV,1,97627.02,97627.02
Vince le Gallen-van der Veen,IT,Timmerman Groep,1,67441.72,67441.72
Nadine Kunen-van de Wal,IT,van Rheineck & Zijlmans,1,57177.61,57177.61
Nadine Kunen-van de Wal,IT,Jähn,1,57177.61,57177.61
Maya Tuithof,Games,Winkler,1,98861.3,98861.3
Maya Tuithof,Games,Stichting Rijn,1,98861.3,98861.3
Senna Zuidweg,HR,Van Gestel-De Pauw CommV,1,80787.64,80787.64
Selena Laffray,HR,Schottin KG,1,72794.05,72794.05
Maja van Salmen,Games,Briemer,1,42697.17,42697.17
Stefan Roodesteijn,Games,Koninklijke van den Berg,1,55842.9,55842.9
Brent de Mol,Games,Metz Jäkel GmbH,1,45137.78,45137.78
Milan van der Mast,HR,Colman NV,1,67132.35,67132.35
Mohammed de Mol,Marketing,Albers,1,76689.04,76689.04
Arthur Recers,IT,"Van Herck, Stas en Coppens NV",1,44507.89,44507.89
Arthur Recers,IT,Stange & van der Heyden,1,44507.89,44507.89
Sep Cant-Vandenbergh,IT,Heinrich,1,57751.6,57751.6
Jolie Tillmanno,Games,"Maes, Peeters en Deceuninck BV",1,44052.15,44052.15
Vera Wolters,IT,Pruschke Höfig GmbH & Co. OHG,1,63660.33,63660.33
Phileine Stamrood,Games,Willems CommV,1,50421.79,50421.79
Aron Roukes,IT,Budig Hendriks AG,1,75983.52,75983.52
Joshua Michiels,IT,Libéma,1,43361.86,43361.86
Dani Rijcken,Marketing,Pruschke Koch Stiftung & Co. KG,1,58748.63,58748.63
Vajèn Willems-Adriaensdr,Games,Lekkerland,1,65506.6,65506.6
Vajèn Willems-Adriaensdr,Games,Schenk Tanktransport,1,65506.6,65506.6
Lorenzo Goderts,Finance,Verbeek Groep,1,96820.43,96820.43
Emir Breugelensis,Marketing,Faust KG,1,73115.48,73115.48
Tyler Joosten,Finance,"De Meyer, Willems en Verheyen NV",1,44315.02,44315.02
Isabel Heribert van Laon,IT,Claessens-De Decker BV,1,75313.03,75313.03
Bradley de Lange,Games,"Vanhoutte, Borremans en Van de Velde BV",1,74206.82,74206.82
Bradley de Lange,Games,Bruyninckx-De Mey BV,1,74206.82,74206.82
Maartje Vandenbergh,HR,"Pauwels, Peeters en Willems VOF",1,44414.67,44414.67
Liz van Hostaden,IT,Bruggeman Groep,1,64619.58,64619.58
Noor van Henegouwen,Games,Hanegraaff BV,1,68721.94,68721.94
Noor van Henegouwen,Games,Shell,1,68721.94,68721.94
Noor van Henegouwen,Games,Wouters Groep,1,68721.94,68721.94
Valerie Arnold-van Geest,Finance,Singh-Sanders CommV,1,76773.86,76773.86
Ali Hollander,IT,Bogaert VOF,1,99653.96,99653.96
Bente Groote,IT,Lambrecht BV,1,62646.44,62646.44
Carlijn Jacquot,IT,Dewaele BV,1,67743.27,67743.27
Carlijn Jacquot,IT,Hermighausen Stiftung & Co. KG,1,67743.27,67743.27
Amy Chrodtrud,Finance,Riehl Rogge GmbH,1,93885.31,93885.31
Daniel Rietveld,Finance,Höfig Kühnert Stiftung & Co. KG,1,89974.0,89974.0
Noah Speijer,IT,Gierschner AG & Co. KGaA,1,94710.36,94710.36
Noah Speijer,IT,Mortier CV,1,94710.36,94710.36
Valentijn Buijs,IT,Täsche,1,68194.34,68194.34
Jan François,HR,Bachmann AG,1,72432.18,72432.18
Jasmijn Zaal,Games,Barents & Aschman,1,68415.92,68415.92
Yassin Kleijse,HR,Beckers CommV,1,97627.02,97627.02
Luka Honing-Velderman,Marketing,"Desmet, Daems en Christiaens CV",1,73967.46,73967.46
Joris Eelman,Marketing,"Joris, Verstraeten en Faes CV",1,96252.87,96252.87
Benjamin van Laon,Games,Blom Groep,1,72307.82,72307.82
Riley Blokland-Kleibrink,HR,Koninklijke Nek,1,57514.03,57514.03
Riley Blokland-Kleibrink,HR,Boogaerts Groep,1,57514.03,57514.03
Vince le Gallen-van der Veen,IT,Vandenberghe CommV,1,67441.72,67441.72
Dean Frankhuizen,Finance,"Holvoet, Devos en Lievens BV",1,30551.74,30551.74
Mara van der Ven,Marketing,Kuijpers,1,41276.75,41276.75
Sophie Ketting-van de Berg,HR,Estey & van Rijnsbergen,1,97188.12,97188.12
Nadine Kunen-van de Wal,IT,Mosemann GmbH,1,57177.61,57177.61
Nadine Kunen-van de Wal,IT,Hande GmbH & Co. KG,1,57177.61,57177.61
Laura Beijring-Broek,Marketing,Boone-Wauters BV,1,53837.12,53837.12
Laura Beijring-Broek,Marketing,Bohlander,1,53837.12,53837.12
Maya Tuithof,Games,Geerling & Hekker,1,98861.3,98861.3
Jonathan van der Klijn,HR,De Mulder-Vandevelde VOF,1,72531.32,72531.32
Jonathan van der Klijn,HR,Doorhof NV,1,72531.32,72531.32
Senna Zuidweg,HR,Acomo,1,80787.64,80787.64
Koen van Evelingen,IT,van Kasteelen NV,1,36978.84,36978.84
Koen van Evelingen,IT,Versluijs NV,1,36978.84,36978.84
Maja van Salmen,Games,Hornig,1,42697.17,42697.17
Maja van Salmen,Games,"De Meester, Verfaillie en Ooms BV",1,42697.17,42697.17
Maja van Salmen,Games,Bolzmann,1,42697.17,42697.17
Stefan Roodesteijn,Games,Hens-Engels NV,1,55842.9,55842.9
Brent de Mol,Games,Goovaerts-Van Dooren CommV,1,45137.78,45137.78
Milan van der Mast,HR,Kropman Installatietechniek,2,134264.7,268529.4
Milan van der Mast,HR,"Stichting Werl-Arnsberg, van",1,67132.35,67132.35
Arthur Recers,IT,"Coppens, Vermeersch en Claes CV",1,44507.89,44507.89
Sep Cant-Vandenbergh,IT,Royal Lether,1,57751.6,57751.6
Vera Wolters,IT,Döhn AG,1,63660.33,63660.33
Noah Schellekens,IT,Schaaf,1,49655.4,49655.4
Phileine Stamrood,Games,Bol.com,1,50421.79,50421.79
Dion Kronenberg-Ariens,Finance,Beckmann KG,1,34903.49,34903.49
Joris le Luc,Games,de Plantard & Kuit,1,49599.19,49599.19
Emily Coreth von und zu Coredo und Starkenberg,Finance,Keijzer BV,1,44127.39,44127.39
Esmee Wipstrik,Marketing,"Peeters, De Witte en Op de Beeck NV",1,73237.29,73237.29
Jesper Niermann,Finance,"Raes, Van Daele en Loos BV",1,53690.67,53690.67
Jesper Niermann,Finance,Pauwels & Bruynzeels,1,53690.67,53690.67
Pieter van Dommelen,Marketing,Leemans VOF,1,84520.0,84520.0
Pieter van Dommelen,Marketing,de Keijser & Fremie,1,84520.0,84520.0
Pieter van Dommelen,Marketing,Buelens-Diallo CV,1,84520.0,84520.0
Bradley de Lange,Games,Versluijs NV,1,74206.82,74206.82
Thijs Gruijl,Marketing,"Pauwels, Pattyn en Ceulemans VOF",1,84178.45,84178.45
Noor van Henegouwen,Games,"Van Goethem, Van den Bossche en Declercq VOF",1,68721.94,68721.94
Faas van der Stael,HR,Royal Arnold,1,70583.3,70583.3
Faas van der Stael,HR,Förster Textor AG,1,70583.3,70583.3
Jayson van Gorp-Hermans,HR,Koninklijke de Wit,1,39445.72,39445.72
Jayson van Gorp-Hermans,HR,Beckmann Fröhlich GmbH,1,39445.72,39445.72
Merijn Verhoeven,Finance,"Vandenberghe, Maes en Yilmaz CV",1,75557.45,75557.45
Sophia Engels,Finance,Liebelt,1,91293.47,91293.47
Joey Blees,Finance,Fröhlich Eberhardt GbR,1,80254.71,80254.71
Ties Mulders,HR,Gunpf Meister AG & Co. KG,1,56797.57,56797.57
Ties Mulders,HR,Ullrich,1,56797.57,56797.57
Daniel Rietveld,Finance,Striebitz Jockel AG & Co. KGaA,1,89974.0,89974.0
Noah Speijer,IT,Goossens-Cuypers VOF,1,94710.36,94710.36
Valentijn Buijs,IT,Mies GmbH,1,68194.34,68194.34
Merel Rippey,HR,Fischer Seifert e.V.,1,44297.19,44297.19
Jan François,HR,Van Landeghem-Vandecasteele VOF,1,72432.18,72432.18
Jasmijn Zaal,Games,van Allemanië & Otte,1,68415.92,68415.92
Yassin Kleijse,HR,Van den Bossche BV,1,97627.02,97627.02
Benjamin van Laon,Games,Stumpf,1,72307.82,72307.82
Benjamin van Laon,Games,Koninklijke Westerburg,1,72307.82,72307.82
Benjamin van Laon,Games,van de Klashorst & van de Pavert,1,72307.82,72307.82
Vince le Gallen-van der Veen,IT,Neuteboom & Schilt,1,67441.72,67441.72
Dean Frankhuizen,Finance,van Ochten Groep,1,30551.74,30551.74
Mara van der Ven,Marketing,Royal Verbeek,1,41276.75,41276.75
Dylan Kok-Kerkhof,IT,Somers-Buysse CV,1,94432.14,94432.14
Dylan Kok-Kerkhof,IT,Bruneel-Vermeire VOF,1,94432.14,94432.14
Sophie Ketting-van de Berg,HR,Drubin,1,97188.12,97188.12
Nadine Kunen-van de Wal,IT,Goossens-Vereecke CommV,1,57177.61,57177.61
Nadine Kunen-van de Wal,IT,Heintze Niemeier GbR,1,57177.61,57177.61
Laura Beijring-Broek,Marketing,"Van Hove, Verheyen en Bruneel NV",1,53837.12,53837.12
Selena Laffray,HR,Kensy AG,1,72794.05,72794.05
Jack van de Ven,Marketing,Koninklijke Helmerhorst,1,64958.88,64958.88
Jack van de Ven,Marketing,Royal Ponci,1,64958.88,64958.88
Matthias Heinrichs,Marketing,Dobes,1,87566.17,87566.17
Matthias Heinrichs,Marketing,De Block CV,1,87566.17,87566.17
Maja van Salmen,Games,Bartels BV,1,42697.17,42697.17
Maja van Salmen,Games,Engels-Janssens BV,1,42697.17,42697.17
Pepijn van Verdun,HR,Van Camp CommV,1,61807.28,61807.28
Elize de Groot,HR,Moens CommV,1,96989.69,96989.69
Elise Vegt-Kosten,Games,"Heylen, Aerts en Schepens CV",1,70273.48,70273.48
Milan van der Mast,HR,Wulff GmbH & Co. KG,1,67132.35,67132.35
Luuk Arens,Finance,Steckel Lübs GmbH,1,46664.52,46664.52
Sep Cant-Vandenbergh,IT,Meyer AG,1,57751.6,57751.6
Evie Godfrey van Alemannië-Smits,Marketing,Kühnert AG,1,69087.12,69087.12
Faas Haring,Finance,"Seghers, Moens en Hendrickx CV",1,43985.41,43985.41
Vera Wolters,IT,Bohnbach AG,1,63660.33,63660.33
Joshua Michiels,IT,Häring GmbH,1,43361.86,43361.86
Charlotte Belpere,IT,"Van Driessche, Willems en Deleu NV",1,85633.32,85633.32
Charlotte Belpere,IT,Koninklijke Hoelen,1,85633.32,85633.32
Jesper Niermann,Finance,Roelandt VOF,1,53690.67,53690.67
Tyler Joosten,Finance,Koninklijke van Eck,1,44315.02,44315.02
Zeynep Greij,Finance,Van Genechten-De Smet CV,1,40895.58,40895.58
Valerie Arnold-van Geest,Finance,"Leys, Goris en Helsen VOF",1,76773.86,76773.86
Ali Hollander,IT,Preiß Scheel Stiftung & Co. KGaA,1,99653.96,99653.96
Luca Sprong-Brievingh,Games,Adams-De Cock VOF,1,46029.36,46029.36
Merijn Verhoeven,Finance,Audax,1,75557.45,75557.45
Alexander Muijs,Games,Stumpf Schenk GmbH & Co. KGaA,1,77389.49,77389.49
Gijs Ghoerle-van der Leek,HR,Bresé & Wooning,1,84489.53,84489.53
Bente Groote,IT,Deloitte,1,62646.44,62646.44
Bente Groote,IT,Gerlach Fliegner Stiftung & Co. KG,1,62646.44,62646.44
Amy Chrodtrud,Finance,Alewijnse,1,93885.31,93885.31
Vincent Bouhuizen,Finance,Freudenberger GmbH & Co. KG,1,87128.54,87128.54
Ties Mulders,HR,Relx,1,56797.57,56797.57
Noah Speijer,IT,de Roos & Bolkesteijn,1,94710.36,94710.36
Jan François,HR,"Verlinden, Janssens en Helsen CommV",1,72432.18,72432.18
Azra Claesner,Marketing,Römer AG,1,48783.07,48783.07
Yassin Kleijse,HR,Ecorys,1,97627.02,97627.02
Yassin Kleijse,HR,Mertens VOF,1,97627.02,97627.02
Luka Honing-Velderman,Marketing,Royal Boer,1,73967.46,73967.46
Dean Frankhuizen,Finance,Schmiedecke Weimer GbR,1,30551.74,30551.74
Sophie Ketting-van de Berg,HR,Rosemann Hermann GmbH,1,97188.12,97188.12
Sophie Ketting-van de Berg,HR,Jeggij & Janssen,1,97188.12,97188.12
Jayda Adriaensdr,Finance,Kuijpers,1,49903.2,49903.2
Matthijs Galenzone,HR,"Bogaerts, Ceuppens en Maes CommV",1,96129.04,96129.04
Myrthe Heymans-Nedermeijer,HR,"Vermeulen, Michielsen en Joos BV",1,91028.96,91028.96
Myrthe Heymans-Nedermeijer,HR,Wagner Stiftung & Co. KGaA,1,91028.96,91028.96
Selena Laffray,HR,Vandenberghe-Michielsen CV,1,72794.05,72794.05
Selena Laffray,HR,Wolfsdr & van den Heuvel,1,72794.05,72794.05
Selena Laffray,HR,Stolze Roht AG,1,72794.05,72794.05
Matthias Heinrichs,Marketing,Kade,1,87566.17,87566.17
Quinn Mulder,HR,Jähn,1,58046.88,58046.88
Quinn Mulder,HR,Adolph,1,58046.88,58046.88
Jordy Kosten,Marketing,Krebs e.V.,1,79127.83,79127.83
Pepijn van Verdun,HR,Henk,1,61807.28,61807.28
Stefan Roodesteijn,Games,Kitzmann Rogge GmbH,1,55842.9,55842.9
Elize de Groot,HR,Athlon Car Lease,1,96989.69,96989.69
Elise Vegt-Kosten,Games,Koeman Groep,1,70273.48,70273.48
Maurits de Pauw-van de Velde,Marketing,Ansems Groep,1,61740.16,61740.16
Stef van Schevinghuizen-Smit,Games,Schmiedecke GmbH,1,99889.55,99889.55
Stef van Schevinghuizen-Smit,Games,Lievens NV,1,99889.55,99889.55
Mohammed de Mol,Marketing,Warmer Rust AG & Co. KGaA,1,76689.04,76689.04
Noah Speijer,IT,Velderman & Bolkesteijn,1,94710.36,94710.36
Brent de Mol,Games,Berger AG,1,45137.78,45137.78
Evie Godfrey van Alemannië-Smits,Marketing,Zänker GmbH,1,69087.12,69087.12
Evie Godfrey van Alemannië-Smits,Marketing,Drubin Junitz GmbH & Co. OHG,1,69087.12,69087.12
Rosa Kuipers,Marketing,Ruppert,1,37606.9,37606.9
Dion Kronenberg-Ariens,Finance,van den Bosch & François,1,34903.49,34903.49
Joshua Michiels,IT,Hermans VOF,1,43361.86,43361.86
Emily Coreth von und zu Coredo und Starkenberg,Finance,Karels Groep,1,44127.39,44127.39
Emily Coreth von und zu Coredo und Starkenberg,Finance,Stichting Walter,1,44127.39,44127.39
Emily Coreth von und zu Coredo und Starkenberg,Finance,"De Meyer, Van Rompaey en Van Rompaey NV",1,44127.39,44127.39
Vajèn Willems-Adriaensdr,Games,Luyckx-Vermeulen CommV,1,65506.6,65506.6
Lorenzo Goderts,Finance,der Kijnder & van der Spaendonck,1,96820.43,96820.43
Jesper Niermann,Finance,Waltrade Walderade & Kuijpers,1,53690.67,53690.67
Emir Breugelensis,Marketing,"Wauters, Verbeke en Steyaert CommV",1,73115.48,73115.48
Thijs Gruijl,Marketing,de Bruijn & Lamore,1,84178.45,84178.45
Zeynep Greij,Finance,Jones & Geldens,1,40895.58,40895.58
Zeynep Greij,Finance,"Hermans, Verelst en Vandenbussche CommV",1,40895.58,40895.58
Lola van der Noot,HR,Royal van Beek,1,96114.92,96114.92
Lola van der Noot,HR,Stichting Bezemer,1,96114.92,96114.92
Tom Kunen,Games,Royal Booden,1,80451.94,80451.94
Luca Sprong-Brievingh,Games,Verheuvel & Wendt,1,46029.36,46029.36
Merijn Verhoeven,Finance,van Hamaland BV,1,75557.45,75557.45
Joey Blees,Finance,Langern Gerlach AG & Co. OHG,1,80254.71,80254.71
Bente Groote,IT,Heser GmbH & Co. KG,1,62646.44,62646.44
Luuk Pratt,IT,"Pattyn, De Ryck en Geerts CV",1,97823.41,97823.41
Daniel Rietveld,Finance,Lambert CommV,1,89974.0,89974.0
Valentijn Buijs,IT,"Van Hove, Simons en Blommaert BV",1,68194.34,68194.34
Phileine Huurdeman,Marketing,Rohleder Täsche GmbH & Co. OHG,1,82580.83,82580.83
Phileine Huurdeman,Marketing,"Rogiers, Peeters en Vermeir CommV",1,82580.83,82580.83
Phileine Huurdeman,Marketing,Koninklijke Hekker,1,82580.83,82580.83
Jan François,HR,Stichting Schrant,1,72432.18,72432.18
Azra Claesner,Marketing,Langern Ackermann GmbH,1,48783.07,48783.07
Yassin Kleijse,HR,Sels CV,1,97627.02,97627.02
Benjamin van Laon,Games,Koch II Käster GmbH & Co. OHG,1,72307.82,72307.82
Dean Frankhuizen,Finance,Adolph Bachmann AG & Co. KG,1,30551.74,30551.74
Sophie Ketting-van de Berg,HR,"Vinck, Declercq en Roels VOF",1,97188.12,97188.12
