street_and_house_no,zip_code,city
UNKNOWN,5889 UD,Pesse
Brampad 3,2139 DG,Eagum
UNKNOWN,4784 KL,Garmerwolde
UNKNOWN,2883 HU,Bitgum
Mettering 74,7315 VE,Dalfsen
UNKNOWN,1019 JA,Saaksum
Aydenstraat 9,3407 AP,Ter Aar
Julianstraat 8,2106 CU,Ell
UNKNOWN,4809 QU,Nispen
UNKNOWN,1276 VJ,Ruinerwold
UNKNOWN,4679 PW,Midwolde
UNKNOWN,2864 CS,De Bult
Zoëhof 37,8206 PV,Westkapelle
UNKNOWN,8326 NW,Epse
UNKNOWN,6805 JX,Chaam
UNKNOWN,5167 LR,Wintelre
Aminaboulevard 9,3632 NX,Harich
Ayabaan 2,3444 NJ,Nederasselt
Faysingel 06,3196 MA,Wilsum
UNKNOWN,3043 RD,Nunhem
UNKNOWN,1501 RQ,Strijbeek
UNKNOWN,6903 BN,Waardhuizen
UNKNOWN,7938 MU,Teuge
Matsweg 6,8044 JN,Teerns
UNKNOWN,3220 WD,Tjalleberd
Elizahof 2,6452 BP,Alteveer gem Hoogeveen
Stanweg 45,6389 OE,Budel-Dorplein
UNKNOWN,6636 RU,Netersel
UNKNOWN,5328 QJ,Haastrecht
UNKNOWN,1344 EO,Ossendrecht
Ninthering 548,3708 AI,Mookhoek
Imransingel 20,7279 WQ,Stiens
Meikering 7,7174 DQ,Kolhorn
UNKNOWN,4691 IS,Boijl
Benboulevard 84,1656 KJ,Puth
Masonbaan 680,6707 IR,Neeritter
UNKNOWN,9286 WX,Rockanje
Isalaan 328,4673 YB,Steyl
UNKNOWN,1270 XV,Vlieland
Olafsingel 296,7599 JU,Zegveld
UNKNOWN,5053 BN,Nieuwersluis
Lottehof 279,1664 CZ,Burgum
UNKNOWN,6928 HK,Zuiddorpe
Leonsingel 834,3698 VF,Sint Joost
Sylviehof 078,4996 SS,Zeijen
UNKNOWN,3423 SK,Ursem
UNKNOWN,9075 LH,Doldersum
UNKNOWN,5110 HC,Teroele
UNKNOWN,2019 TH,Gelselaar
UNKNOWN,3987 KP,Ommen
Sterreweg 520,9483 SF,Akersloot
UNKNOWN,9773 TQ,Siebengewald
UNKNOWN,3526 WY,Nuth
Jetweg 9,3316 KU,Elahuizen
UNKNOWN,1550 WQ,Valburg
UNKNOWN,8598 OI,Eexterveenschekanaal
Simonweg 584,8254 DF,Hee
Siennadreef 261,4471 XG,Rossum
UNKNOWN,7603 AS,Zandvoort
UNKNOWN,1247 MU,Wieringerwerf
UNKNOWN,1373 PZ,Merkelbeek
UNKNOWN,5386 OR,Oosterwolde
Sarabaan 27,9347 MZ,Babberich
UNKNOWN,6604 AT,Wolfheze
Maryamstraat 24,6765 QC,Oosthuizen
Amirasteeg 0,5954 GN,Wijnbergen
