id,caller_id,company,recipient,age,country,product_sold,quantity
63,20,Fiat Chrysler Automobiles,Pim Hoogers,21,Netherlands,Flyer,5
64,49,Hermighausen Stiftung & Co. KG,Athanasios Kensy,47,Germany,Printer,50
65,18,van Loon NV,Tijs Moet-van der Brink,37,Netherlands,Banner,9
66,56,Wipstrik & Manne,Justin Vos-de Bruijn,25,Netherlands,Business Card,26
67,62,Carsten Stiebitz Stiftung & Co. KG,Univ.Prof. Tom Klemm B.Sc.,47,Germany,Webcam,17
68,73,Sontag GmbH,Hansjoachim Eigenwillig,59,Germany,Printer,30
69,4,"Smeets, Hens en Verheyen VOF",Charles Hermans,19,Belgium,Laptop,13
70,23,"Bosmans, Buyse en Janssens VOF",Marie De Schepper,22,Belgium,Laptop,34
71,61,Koninklijke Slaetsdochter,Kay Boer,58,Netherlands,Flyer,23
72,35,Roosenboom & de Hoogh,Luca Vos,60,Netherlands,Scanner,10
73,93,Stichting van der Velden,Ise de Marduras-Fremie,35,Netherlands,Keyboard,29
74,93,Maaswinkel & van Santen,Benthe Speijer,54,Netherlands,Router,10
75,22,Stichting Aschman,Ivy Cornelisz,36,Netherlands,Router,19
76,5,Franke Eberhardt OHG mbH,Prof. Ahmed Sorgatz,31,Germany,Mouse,9
77,38,Hahn Rosenow GmbH,Heiner Mohaupt,35,Germany,Flyer,15
78,55,Kerkhof Groep,Aylin Heerschop,42,Netherlands,Scanner,36
79,37,Beckmann Fröhlich GmbH,Ing. Tabea Hande,58,Germany,Scanner,31
80,6,Holsten,Eileen Stolze,44,Germany,Webcam,39
81,83,Acer,Vincent Mathurin-van Wijland,34,Netherlands,Poster,35
82,90,Schmiedecke,Frederik Junken-Thanel,33,Germany,Desktop,3
83,64,"De Backer, Geerts en Verstraete CommV",Christa Vermeiren,53,Belgium,Router,17
84,83,Mielcarek Ortmann AG,Rose Geisler,53,Germany,Keyboard,15
85,7,Fischer,Dr. Cosima Lorch,32,Germany,Webcam,50
86,82,Enza Zaden,Kate Nedermeijer,35,Netherlands,Social Media Ad,13
87,76,Meersman-Neyens VOF,Wilfried De Ridder,32,Belgium,Website Design,10
88,46,de Hoogh & Garret,Féline Lambregt,54,Netherlands,Logo Design,49
89,42,Van Dessel-Geerts VOF,Guido Reynaert,32,Belgium,Mouse,11
90,81,Schuchhardt AG,Dipl.-Ing. Sylvio Dietz B.Eng.,58,Germany,Logo Design,5
91,82,"Declercq, Van Hulle en Peeters CV",Diana Heylen,55,Belgium,Desktop,1
92,62,Hartung KG,Henrike Meyer,30,Germany,Poster,38
93,17,Jacobs-D'hondt CommV,Sofie De Wilde,52,Belgium,Flyer,33
94,26,Deckers-Van der Auwera NV,Nathalie Van Hove,19,Belgium,Printer,11
95,81,Trommler Pruschke GbR,Valeri Eberhardt,47,Germany,Laptop,21
96,80,"Van Hoof, Viaene en Matthys BV",Ivan Verboven,45,Belgium,Webcam,5
97,81,Acomo,Féline François,37,Netherlands,Website Design,13
98,40,Nestle,Myrthe Olthof-Latier,50,Netherlands,Business Card,12
99,45,Andus Group,Lana Welf,38,Netherlands,Scanner,7
100,56,Holvoet CV,Norbert Peeters,60,Belgium,Webcam,9
101,8,Van den Berghe-Geuens NV,Eddy Geens,37,Belgium,Router,50
102,40,Dircken BV,Tess Strik-van Dooren,29,Netherlands,Headset,7
103,43,Remeha Group,Mette Slingerland,50,Netherlands,Router,5
104,72,Täsche Paffrath GmbH & Co. KG,Prof. Sophie Schweitzer MBA.,58,Germany,Desktop,32
105,91,Ladeck Carsten GmbH & Co. KGaA,Univ.Prof. Nicolaus Hamann,50,Germany,Social Media Ad,1
106,22,Fechner e.G.,Balthasar Dörschner,59,Germany,Desktop,32
107,5,Tauw,Johannes Gellemeyer-Lansink,28,Netherlands,Laptop,13
108,44,"Goossens, Depoorter en Adriaenssens BV",Wim Casier Claes,19,Belgium,Website Design,36
109,13,Verheij NV,Tycho Vermeulen,33,Netherlands,Poster,21
110,52,De Maeyer NV,Linde Ramaekers,28,Belgium,Flyer,14
111,96,Grolsch,Fleur de Groot-Kuiper,23,Netherlands,Social Media Ad,40
112,73,van Breukelveen & Verhagen,Louise Overeem,51,Netherlands,Keyboard,21
113,79,Nohlmans Walter GmbH,Hans-Heinrich Kroker,38,Germany,Webcam,43
114,32,"Cuypers, Nijs en Jacobs CommV",Louis Wellens,26,Belgium,Flyer,44
115,11,Vogt Scheel GmbH,Verena Hettner,36,Germany,Social Media Ad,2
116,37,De Roover-Cools VOF,Vince Goossens,33,Belgium,Flyer,43
117,63,De Winter NV,Michelle Vandevelde,57,Belgium,Logo Design,20
118,40,Goovaerts BV,Heidi Mortier,19,Belgium,Scanner,38
119,86,Schmidtke,Sönke Seifert MBA.,40,Germany,Webcam,9
120,49,Dehmel,Paul-Gerhard Adler MBA.,26,Germany,Flyer,1
121,98,Warmer Rust AG & Co. KGaA,Cathrin Hesse,51,Germany,Headset,29
122,83,Boddaugh & Jacobs,Sjoerd van den Brand,60,Netherlands,Monitor,22
123,78,Vos NV,Alex Janssens,27,Belgium,Laptop,28
124,4,Centric,Hailey Aelftrud van Wessex,48,Netherlands,Laptop,7
125,95,Rogiers-Rutten CV,Febe Gillis,47,Belgium,Headset,35
126,69,Vanderstraeten-Vandevelde CV,Frederik Sels,29,Belgium,Billboard,6
127,25,De Brauw Blackstone Westbroek,Youssef van Laarhoven,46,Netherlands,Brochure,6
128,98,"De Ridder, De Pauw en Huybrechts VOF",Albert Loos,39,Belgium,Website Design,29
129,43,Randstad,Mirte van den Brink,60,Netherlands,Router,30
130,6,De Schryver CommV,Maria Peeters,26,Belgium,Billboard,24
131,42,"Stevens, Ali en Hermans NV",Annick Melis,25,Belgium,Monitor,5
132,85,Talpa Media,"Jesper Werl-Arnsberg, van",43,Netherlands,Laptop,23
133,87,Stichting Goderts,Mia Sarneel,38,Netherlands,Social Media Ad,24
134,78,Maas & van Rijthoven,Rosa Mulder,48,Netherlands,Social Media Ad,43
135,86,Takkelenburg Groep,Kate Gellemeyer-Pasman,52,Netherlands,Billboard,28
136,79,Schaaf,Claudia Weimer,24,Germany,Desktop,16
137,57,Dierickx-Vanderlinden NV,Carine Swinnen,45,Belgium,Banner,18
138,29,Royal van Gent,Dirk van den Wittenboer,35,Netherlands,Keyboard,34
139,53,De Wilde VOF,Annelies Pauwels,52,Belgium,Printer,14
140,94,Röhrdanz KGaA,Dr. Ivonne Holsten,19,Germany,Webcam,40
141,89,Pasman & Groenestein,Lina le Matelot,53,Netherlands,Scanner,21
142,92,Royal Feenstra,Ize van Tours-van 't Wel,32,Netherlands,Flyer,16
143,45,Junk AG,Ramazan Karz,60,Germany,Social Media Ad,24
144,23,De Meyer-Baetens NV,Sigrid Vrancken Maes,41,Belgium,Webcam,14
145,13,Cornelis-Peeters VOF,Patrick Smits,53,Belgium,Banner,25
146,54,Allianz Nederland Groep,Melissa Totwiller,32,Netherlands,Business Card,46
147,46,Graf,Lissy Trommler,55,Germany,Scanner,40
148,65,Ladeck,Prof. Brigitte Rädel,30,Germany,Brochure,22
149,65,Löwer,Rita Sontag,31,Germany,Printer,45
150,11,Baert-Casier CommV,Geert De Clercq,45,Belgium,Billboard,16
151,10,Royal Goyaerts van Waderle,Helena Schenkel,36,Netherlands,Monitor,37
152,33,de Jager & Kloppert,Noah Thomas,26,Netherlands,Brochure,11
153,52,"Vandendriessche, Bogaerts en Snauwaert VOF",Kelly Verstraeten,31,Belgium,Sign,44
154,62,Seifert KG,Herr Heribert Scholz MBA.,27,Germany,Brochure,16
155,21,Meyer & van der Mast,Dina van Landen,49,Netherlands,Desktop,42
156,65,Bierstraten & van Holland,Leon Wildschut,58,Netherlands,Website Design,21
157,29,Strijker & Broeders,Mick de Bruyn,46,Netherlands,Business Card,4
158,92,Staelens NV,Tim Cornelis,57,Belgium,Webcam,44
159,77,Stichting van der Smeede,Lynn de Wit,26,Netherlands,Router,14
160,27,Sontag AG,Hardy Dörr,47,Germany,Logo Design,43
161,76,Etzler AG,Bernward Conradi,31,Germany,Billboard,24
162,98,"De Smet, Lambert en Andries VOF",Catherine De Pauw Vanhoutte,59,Belgium,Banner,15
163,11,Wesack GmbH,Mirjam Herrmann,35,Germany,Website Design,49
164,43,Stichting Zaal,Bilal van 't Riet-van den Nuwenhijsen,44,Netherlands,Social Media Ad,14
165,92,Callens CV,Christiana Cuypers,59,Belgium,Billboard,39
166,34,Scholtz Nerger AG,Gisbert Wirth MBA.,26,Germany,Logo Design,3
167,55,Schäfer,Cornelia Huhn-Metz,22,Germany,Desktop,28
168,86,"Goethals, Mertens en Timmermans CommV",Marguerite Peeters Moens,19,Belgium,Billboard,29
169,79,Biggen,Josefine Hande,33,Germany,Social Media Ad,15
170,47,Peeters & Nedermeijer,Felix van den Broek,55,Netherlands,Headset,9
171,1,de Bruijn & van Suinvorde,Ashley Molen,19,Netherlands,Sign,25
172,53,Koninklijke Wouters,Louise Leene,19,Netherlands,Keyboard,26
173,26,Gertz Wieloch GmbH,Univ.Prof. Matthäus Köster MBA.,52,Germany,Banner,20
174,40,Reinhardt Lehmann GmbH,Änne Reuter B.Sc.,23,Germany,Social Media Ad,3
175,42,Stichting Demmendaal,Ecrin Slaetsdochter-Gruijl,53,Netherlands,Keyboard,17
176,29,Vervaeke CommV,Maria Van den Berghe,31,Belgium,Brochure,14
177,68,Depuydt-Cools VOF,Fran Geens,26,Belgium,Mouse,31
178,44,"Engels, De Boeck en Meeus CommV",Catherine Moreels,45,Belgium,Poster,26
179,36,Grein Groth Linke GmbH & Co. KGaA,Sigismund Löwer,26,Germany,Mouse,33
180,34,Heintze GmbH,Dr. Cäcilie Dowerg B.Eng.,20,Germany,Social Media Ad,19
181,76,Bohnbach Graf AG,Elvira Bauer,36,Germany,Business Card,11
182,19,Vanneste-De Bruyn NV,Hassan Goris,31,Belgium,Laptop,14
183,59,Christiaens NV,Kurt Rogiers,45,Belgium,Flyer,3
184,34,Claes-Jans VOF,Hanne Van Loock,45,Belgium,Sign,49
185,61,Royal Pison,Noud van Dokkum,55,Netherlands,Sign,50
186,34,Vanderlande,Stijn de Mol,56,Netherlands,Laptop,32
187,92,"Tielemans, De Bruyn en Coene CV",Miranda Geeraerts,25,Belgium,Social Media Ad,43
188,72,Royal de Roos,Faye Keijzer,40,Netherlands,Logo Design,44
189,81,"Blomme, Cox en Bekaert NV",Jeroen Claeys,41,Belgium,Laptop,44
190,85,Recers & Veltman,Jennifer Vial,39,Netherlands,Business Card,46
191,76,Schlosser KG,Gitte Barth B.A.,55,Germany,Social Media Ad,48
192,37,"Cools, Mertens en Verhulst CommV",Timothy Boonen Jansen,59,Belgium,Headset,4
193,49,De Moor CommV,Michael Pauwels,57,Belgium,Website Design,35
194,38,Weihmann,Annamaria Gehringer,40,Germany,Brochure,3
195,59,"Segers, Vermeulen en Vandamme CV",Gustaaf Eeckhout,47,Belgium,Flyer,10
196,29,Briemer,Lieselotte Hellwig-Gutknecht,18,Germany,Monitor,20
197,1,Ackermann,Hilma Kade,42,Germany,Printer,2
198,41,Constellium,Noortje van Kasteelen,40,Netherlands,Logo Design,38
199,21,Kohl Söding GbR,Ole Schlosser,23,Germany,Scanner,48
200,47,de Groot NV,Stefan van den Oever-van Duyvenvoorde,31,Netherlands,Flyer,42
201,56,Hendriks,Xaver Gude-Jäntsch,57,Germany,Monitor,49
202,53,Mende GmbH,Abram Ruppert B.Sc.,38,Germany,Router,41
203,24,Koninklijke Jeggij,Isis Verheuvel-van Breukelveen,19,Netherlands,Billboard,31
204,15,"Huysmans, Vermeiren en De Vos BV",Viviane Smets,54,Belgium,Brochure,14
205,15,Kok BV,Yasmine van der Maes,41,Netherlands,Flyer,41
206,69,"De Sutter, Hendrickx en Van Laere CV",Bram Hanssens,19,Belgium,Headset,38
207,57,Aerts-Viaene CV,Christine Verlinden,58,Belgium,Brochure,19
208,22,Muijs & Bertho,Kyan van Stralen,59,Netherlands,Sign,28
209,40,Wolffel & den Haag,Pleun Hoekstra-Verkade,24,Netherlands,Printer,35
210,5,Takkelenburg Groep,Luca Dekker,42,Netherlands,Poster,39
211,61,Barkholz AG,Gerard Heuser,35,Germany,Poster,35
212,75,Vervoort & van Duvenvoirde,Britt Kalman,18,Netherlands,Website Design,25
213,30,Oderwald,Prof. Milos Gierschner B.Sc.,56,Germany,Scanner,9
214,69,Kruns Groep,Lenn Schelvis-Marceron,49,Netherlands,Billboard,50
215,100,"Voet, Claeys en Vergauwen VOF",Jimmy Mertens,51,Belgium,Social Media Ad,49
216,13,"Vermeylen, Vervaet en Herman VOF",Bart Laureys,23,Belgium,Laptop,43
217,82,Eaton Industries,Noor Rehorst,55,Netherlands,Router,22
218,67,Van Gelder Groep,Ella van Clootwijck-van der Velde,42,Netherlands,Social Media Ad,6
219,16,Koninklijke Loep,Lauren van den Broek,20,Netherlands,Poster,33
220,36,Rosemann,Pietro Renner-Scheibe,52,Germany,Social Media Ad,21
221,75,Boucsein GbR,Elzbieta Gude MBA.,54,Germany,Printer,43
222,21,Wulf Stiftung & Co. KGaA,Madlen Täsche,26,Germany,Monitor,39
223,73,Adryaens NV,Maxim Jaceps-Ehlert,23,Netherlands,Webcam,25
224,27,Devriendt CV,Charlotte De Decker,51,Belgium,Mouse,30
225,28,Ullrich,Dr. Rocco van der Dussen,60,Germany,Scanner,20
226,7,Fransen-De Coster CV,Jeffrey Van Hove,53,Belgium,Printer,23
227,80,Löchel GmbH,Dipl.-Ing. Raymond Kreusel B.Eng.,18,Germany,Printer,37
228,18,Zahn,Sandra Gunpf,28,Germany,Mouse,24
229,36,"Geerts, Vanhee en Willems NV",Hans Jacobs Vergauwen,51,Belgium,Website Design,39
230,72,"Janssens, Pauwels en De Backer NV",Anja Claeys,54,Belgium,Flyer,37
231,46,Seifert Beier AG,Dr. Karla Klemt,25,Germany,Monitor,29
232,35,Persijn & van den Berg,Kate Jones-Goderts,52,Netherlands,Keyboard,35
233,72,"Yildirim, Vanhoutte en Samyn CV",Thierry Van Landeghem,39,Belgium,Website Design,17
234,61,Hecker,Karolin Jähn,30,Germany,Billboard,13
235,5,Olthof BV,Florian Carnotte,26,Netherlands,Printer,24
236,42,Koninklijke van Oirschot,Lena de Bock,38,Netherlands,Banner,4
237,71,Schenk,Gunar Meister,43,Germany,Scanner,50
238,81,Koninklijke Claesdr,Matthijs Veltman,39,Netherlands,Flyer,31
239,81,Matthäi e.G.,Raisa Vogt,45,Germany,Scanner,1
240,93,Enza Zaden,Hamza Veenendaal,37,Netherlands,Keyboard,37
241,42,Drubin,Theodora Rogge,20,Germany,Scanner,1
242,70,Coenen-De Pauw CV,Wendy Aerts,30,Belgium,Printer,49
243,67,"Van Herck, Mees en De Waele CV",Mohammed De Schepper Peeters,41,Belgium,Flyer,34
244,3,Verschueren CommV,Emiel Wouters Jansen,41,Belgium,Mouse,14
245,11,Ruppert Hermighausen KGaA,Univ.Prof. Karl-Georg Weiß B.Sc.,42,Germany,Mouse,46
246,26,Stichting Huijzing,Julia Dennenberg-Heinrichs,25,Netherlands,Flyer,7
247,83,van Ommeren Groep,Janne Thatcher-Waardeloo,21,Netherlands,Webcam,44
248,21,Rousselet NV,Thijn Haengreve,35,Netherlands,Website Design,45
249,34,SABIC,Phileine Hellevoort,32,Netherlands,Laptop,28
250,5,Pechel,Ferdinand Zahn,37,Germany,Monitor,22
251,76,"Bogaerts, Ceuppens en Maes CommV",Carine Segers,47,Belgium,Printer,26
252,34,Reuter AG & Co. KG,Florence Reinhardt,27,Germany,Keyboard,49
253,86,"Werl-Arnsberg, van NV",Ayoub Jdotte,39,Netherlands,Webcam,18
254,79,"Adriaensen, Hermans en Vercammen BV",Etienne Sels Buyse,25,Belgium,Desktop,14
255,27,Stange & van Rheineck,Timo Karels,51,Netherlands,Flyer,22
256,52,"De Roover, De Leeuw en Van der Auwera BV",Dany Bauwens,59,Belgium,Router,15
257,53,Laenen-Slegers BV,Virginie Smets,19,Belgium,Business Card,24
258,60,Rädel,Andrew Tlustek,40,Germany,Sign,15
259,79,AFAS,Noa Janssen,54,Netherlands,Printer,25
260,62,Smets CV,Nand Roosen,36,Belgium,Billboard,40
261,85,Karz Lehmann GmbH & Co. KGaA,Oscar Margraf B.Sc.,56,Germany,Poster,16
262,10,Verbiest-Devos CV,Maria Theunis,30,Belgium,Mouse,9
263,4,Vrancken CV,Rita Goossens,19,Belgium,Logo Design,13
264,79,De Wit BV,Peter Van de Velde,44,Belgium,Scanner,10
265,16,Laureys BV,Chloé De Block,20,Belgium,Social Media Ad,22
266,78,Franke,Mustafa Bonbach-Mude,44,Germany,Banner,4
267,64,Wulf,Frau Charlotte Hecker B.Eng.,53,Germany,Desktop,2
268,26,Versluijs NV,Sepp van den Corput,38,Netherlands,Logo Design,28
269,75,"Peeters, De Schutter en Peeters VOF",Tim Van Damme,37,Belgium,Scanner,6
270,35,Talpa Media,Indy Ouwerkerk,58,Netherlands,Sign,2
271,74,Callens VOF,Sandra Gielen,53,Belgium,Sign,10
272,5,"Vlaeminck, Van Acker en Van Assche BV",Isabel Jans,46,Belgium,Monitor,42
273,66,van der Heijden & Flink,Floor Mathurin,40,Netherlands,Sign,22
274,64,"Galle, Vanneste en Steyaert BV",Koen Mertens,56,Belgium,Poster,49
275,68,Royal Janssen,Aaliyah Van Bragt,50,Netherlands,Printer,41
276,84,Becker,Gunar Schulz-Nette,20,Germany,Billboard,35
277,46,Scheibe,Hansgeorg Austermühle,47,Germany,Keyboard,47
278,76,De Meester VOF,David Bogaerts,54,Belgium,Webcam,38
279,31,Leysen CommV,Dylan De Witte,52,Belgium,Desktop,22
280,81,Mosemann AG,Traude Wagner,40,Germany,Sign,50
281,79,Godfrey van Alemannië & van Bernicia,Esmee Perck-van Noordeloos,59,Netherlands,Monitor,8
282,40,Royal Booden,Jan Lind,45,Netherlands,Logo Design,13
283,7,Thys VOF,Nils Van Gestel,19,Belgium,Webcam,3
284,26,NDC Mediagroep,Hendrik van Santen-Jorrisen,36,Netherlands,Flyer,32
285,72,De Moor VOF,Hilda Mertens,19,Belgium,Router,35
286,69,De Vos NV,Chloë Hermans,18,Belgium,Billboard,1
287,73,Stichting Mijsberg,Angelina Otto,44,Netherlands,Webcam,36
288,33,"Mertens, Theys en Verbist BV",Floor Van Looveren,44,Belgium,Keyboard,15
289,47,Henric van den Nuwenhuse & van Poppel,Juliette van Liendert-Maas,21,Netherlands,Logo Design,1
290,71,Simonis & Jacquot,Alicia van de Brink,21,Netherlands,Headset,44
291,10,Konings NV,Wouter Françoise,36,Netherlands,Scanner,32
292,15,Stroh,Anthony Kreusel,58,Germany,Mouse,18
293,97,Reising,Marisa Lehmann,48,Germany,Business Card,21
294,24,Theodoor Gilissen,Aiden Woudenberg,59,Netherlands,Poster,32
295,73,Barkholz,Janus Gunpf,28,Germany,Scanner,5
296,8,Carsten Geißler OHG mbH,Friederike Ruppert MBA.,59,Germany,Webcam,2
297,42,Goris NV,Lennert Vranckx,33,Belgium,Desktop,48
298,30,Juncken Barth GmbH & Co. KGaA,Lars Schuster B.Eng.,41,Germany,Flyer,42
299,23,"Lammens, De Clercq en Roels BV",Lieve Matthys Denys,54,Belgium,Social Media Ad,31
300,67,Hande Dippel KG,Guiseppe Hellwig-Killer,19,Germany,Laptop,8
301,33,Scholtz e.G.,Hugo Austermühle,38,Germany,Billboard,13
302,26,Lucas & van de Kooij,Melle Galijn-Kriens,20,Netherlands,Router,32
303,59,Goyvaerts BV,Laura Neirynck,31,Belgium,Webcam,35
304,69,Buelens CV,Clara De Clercq,32,Belgium,Poster,47
305,51,Vandenbussche-De Wachter NV,Koenraad Van Campenhout,47,Belgium,Billboard,31
306,51,"Willems, Van Driessche en Wauters VOF",Leona De Neve,26,Belgium,Router,37
307,46,Radisch,Dr. Paulina Häring,25,Germany,Logo Design,29
308,82,Janssens-Bervoets BV,Marie-Claire Tanghe,38,Belgium,Webcam,32
309,9,DAF Trucks,Joey van Northeim-Ansems,33,Netherlands,Billboard,38
310,78,Naser GmbH,Univ.Prof. Marika Klapp,60,Germany,Mouse,49
311,68,Koninklijke Vignon,Bart van Henegouwen,27,Netherlands,Monitor,32
312,9,Heylen CommV,Willy Mariën,56,Belgium,Scanner,11
313,4,van Nederlotharingen NV,Ella de Ruiter-Billung,57,Netherlands,Keyboard,1
314,97,Schrik Groep,Anouk Pastoors,59,Netherlands,Laptop,38
315,85,Scholtz Holzapfel GbR,Isabell Reising,33,Germany,Logo Design,49
316,67,van Embden & van Breukelveen,Job Maas,53,Netherlands,Business Card,48
317,61,Nijs VOF,Bernadette Desmet,31,Belgium,Keyboard,10
318,44,"Ahmed, Verhulst en De Backer NV",Rudi Claes,21,Belgium,Sign,45
319,10,Mulder & Leguit,Noëlle Kronenberg,20,Netherlands,Poster,20
320,23,Stiebitz Wagner GbR,Curt Fischer,33,Germany,Mouse,15
321,1,Claesen BV,Tom Jacobs,56,Belgium,Laptop,16
322,11,Käster GmbH & Co. KGaA,Dipl.-Ing. Antonia Bauer,55,Germany,Logo Design,23
323,49,Schenk,Hans-Jochen Roskoth B.Eng.,59,Germany,Mouse,4
324,56,Stiffel e.G.,Nuray Kabus,30,Germany,Sign,3
325,22,Brouwers CV,Jayden Peeters Bonte,38,Belgium,Social Media Ad,44
326,84,Royal van Eck,Daniel Sire-Fiere,36,Netherlands,Banner,33
327,88,"Dewaele, De Ridder en De Coninck CommV",René Van Hulle,27,Belgium,Social Media Ad,43
328,27,Kade,Bernfried Bolander-Albers,28,Germany,Keyboard,47
329,13,Liebelt,Nikolaus Briemer,45,Germany,Scanner,13
330,99,Royal Elbertse,Aron van Verdun-Meyer,58,Netherlands,Poster,16
331,13,Samskip,Linde Werdes,43,Netherlands,Keyboard,45
332,17,Neirynck-Janssen VOF,Danny Snauwaert Proost,40,Belgium,Desktop,15
333,6,Deen,Nynke Aarts,38,Netherlands,Scanner,29
334,5,"Diallo, Dewulf en Verdonck VOF",Hendrik Verstraeten,54,Belgium,Mouse,13
335,73,Klotz GbR,Marion Hörle MBA.,51,Germany,Mouse,18
336,29,Hofmann,Ing. Elise Reichmann,57,Germany,Social Media Ad,50
337,4,Stadelmann Otto AG & Co. KG,Raphaela Hecker,54,Germany,Flyer,10
338,8,Fröhlich,Heinz-Wilhelm Hauffer-Wohlgemut,47,Germany,Website Design,37
339,69,Maes VOF,Kenny Martens,51,Belgium,Billboard,17
340,58,Smet-Boone BV,Raf Vandamme,27,Belgium,Headset,8
341,98,De Groote CommV,José Reynders,49,Belgium,Logo Design,33
342,46,Vos CommV,Georgette De Smet,32,Belgium,Laptop,14
343,65,Accon AVM,Micha Maas,48,Netherlands,Desktop,5
